Index,X,Y,Z,E
0,124,0,0,34
1,259,0,0,70
2,394,0,0,106
3,529,0,0,142
4,664,0,0,179
5,800,0,0,215
6,935,0,0,251
7,1070,0,0,287
8,1205,0,0,323
9,1340,0,0,360
10,1475,0,0,396
11,1610,0,0,432
12,1745,0,0,468
13,1880,0,0,505
14,2016,0,0,541
15,2151,0,0,577
16,2286,0,0,613
17,2421,0,0,649
18,2556,0,0,686
19,2691,0,0,722
20,2826,0,0,758
21,2961,0,0,794
22,3096,0,0,831
23,3232,0,0,867
24,3367,0,0,903
25,3502,0,0,939
26,3637,0,0,975
27,3772,0,0,1012
28,3907,0,0,1048
29,4042,0,0,1084
30,4177,0,0,1120
31,4312,0,0,1157
32,4448,0,0,1193
33,4583,0,0,1229
34,4718,0,0,1265
35,4853,0,0,1317
36,4988,0,0,1393
37,5123,0,0,1468
38,5258,0,0,1544
39,5393,0,0,1619
40,5528,0,0,1695
41,5664,0,0,1770
42,5799,0,0,1846
43,5934,0,0,1921
44,6069,0,0,1997
45,6204,0,0,2072
46,6339,0,0,2147
47,6474,0,0,2223
48,6609,0,0,2299
49,6744,0,0,2374
50,6880,0,0,2450
51,7015,0,0,2525
52,7150,0,0,2601
53,7285,0,0,2676
54,7420,0,0,2751
55,7555,0,0,2827
56,7690,0,0,2903
57,7825,0,0,2978
58,7960,0,0,3054
59,7963,130,1,3189
60,7829,596,6,3189
61,7695,1062,11,3189
62,7561,1529,16,3189
63,7427,1995,20,3189
64,7293,2461,25,3189
65,7159,2927,30,3189
66,7025,3393,35,3189
67,6891,3860,40,3189
68,6757,4326,44,3189
69,6623,4792,49,3189
70,6489,5258,54,3189
71,6355,5724,59,3189
72,6221,6191,64,3189
73,6087,6657,68,3189
74,5953,7123,73,3189
75,5819,7589,78,3189
76,5780,7779,80,3304
77,5933,7732,80,3312
78,6095,7731,80,3321
79,6257,7731,80,3329
80,6419,7731,80,3337
81,6581,7731,80,3345
82,6743,7731,80,3353
83,6905,7731,80,3362
84,7068,7731,80,3370
85,7230,7731,80,3378
86,7392,7731,80,3386
87,7554,7731,80,3394
88,7716,7731,80,3402
89,7878,7731,80,3411
90,8040,7731,80,3419
91,8202,7731,80,3427
92,8364,7731,80,3435
93,8526,7736,80,3443
94,8686,7763,80,3452
95,8847,7786,80,3460
96,9008,7807,80,3468
97,9169,7823,80,3476
98,9330,7838,80,3484
99,9492,7847,80,3492
100,9654,7853,80,3501
101,9816,7856,80,3509
102,9978,7858,80,3517
103,10141,7858,80,3526
104,10303,7855,80,3534
105,10465,7849,80,3542
106,10627,7840,80,3550
107,10788,7828,80,3558
108,10950,7812,80,3567
109,11110,7792,80,3575
110,11271,7769,80,3583
111,11431,7743,80,3591
112,11592,7731,80,3599
113,11754,7731,80,3607
